month,dim,code,label,maker,count
202504,model,4027,테슬라 모델X,테슬라,1
202504,model,4043,테슬라 모델S,테슬라,4
202504,model,3825,테슬라 사이버트럭,테슬라,0
202504,model,4704,BYD 돌핀,BYD,0
202504,model,4706,BYD 씨라이언7,BYD,0
202504,model,4702,BYD 아토3,BYD,543
202504,model,4703,BYD 씰,BYD,0
202504,model,4446,볼보 EX30,볼보,116
202504,model,4750,볼보 EX30 CC,볼보,0
202504,model,4513,폴스타 4,폴스타,179
202504,model,4062,아우디 Q4 e-tron,아우디,77
202504,model,4690,아우디 Q6 e-tron,아우디,41
202504,model,4142,아우디 A6 e-tron,아우디,0
202504,model,4436,아우디 Q8 e-tron,아우디,3
202504,model,4759,아우디 e-tron GT,아우디,0
202504,model,4528,BMW i5,BMW,156
202504,model,4639,BMW i4,BMW,92
202504,model,4181,BMW i7,BMW,60
202504,model,4708,BMW iX,BMW,0
202504,model,4372,BMW iX1,BMW,50
202504,model,4582,BMW iX2,BMW,137
202504,model,4751,BMW iX3,BMW,0
202504,model,4569,벤츠 EQB,벤츠,8
202504,model,4430,벤츠 EQE SUV,벤츠,72
202504,model,4111,벤츠 EQE,벤츠,14
202504,model,4381,벤츠 EQS SUV,벤츠,25
202504,model,4568,벤츠 EQA,벤츠,10
202504,model,4638,벤츠 EQG(G-Class EV),벤츠,5
202504,model,4571,미니 일렉트릭,미니,3
202504,model,4572,미니 컨트리맨 일렉트릭,미니,40
202504,model,4640,미니 에이스맨,미니,50
202504,model,4613,포르쉐 마칸 일렉트릭,포르쉐,61
202504,model,4619,포르쉐 타이칸,포르쉐,149
202504,model,4005,폭스바겐 ID.4,폭스바겐,27
202504,model,4121,폭스바겐 ID.5,폭스바겐,9
202504,model,3687,테슬라 모델Y,테슬라,0
202504,model,4087,아이오닉6,현대,610
202504,model,4015,GV60,제네시스,0
202504,model,4046,BMW i4,BMW,0
202504,model,3983,BMW iX3,BMW,114
202504,model,4009,BMW iX,BMW,114
202504,model,4039,아우디 e-tron GT,아우디,15
202504,model,3667,아우디 e-tron,아우디,0
202504,model,4468,폴스타 2,폴스타,10
202504,model,4632,르노 세닉 E-Tech,르노,0
202504,model,4731,볼보 EX40,볼보,6
202504,model,4400,현대 카운티 일렉트릭,현대,17
202504,model,4048,벤츠 EQS,벤츠,5
202504,model,4634,벤츠 EQS,벤츠,4
202504,model,4511,벤츠 마이바흐 EQS SUV,벤츠,17
202504,model,4565,캐딜락 에스컬레이드 IQ,캐딜락,0
